job_title,company,city,province,employment_type,experience_level,min_years_experience,max_years_experience,salary_min,salary_max,posting_date,source,source_url,description,skills_required
Data Analyst,NorthStar Retail Analytics,Toronto,ON,Full-time,Entry-level,0,2,58000,72000,2026-04-15,Sample Dataset,https://example.com/jobs/1001,"Analyze sales data, build dashboards, and support weekly business reporting for retail operations.","SQL; Excel; Power BI; Python; Data Visualization; Communication"
Junior Data Analyst,Maple Health Network,Ottawa,ON,Full-time,Entry-level,0,2,54000,68000,2026-04-18,Sample Dataset,https://example.com/jobs/1002,"Clean healthcare operations data, prepare KPI reports, and document data quality issues.","SQL; Excel; Tableau; Data Cleaning; KPI Reporting; Communication"
Business Analyst,Lakeview Insurance,Waterloo,ON,Full-time,Junior,1,3,62000,78000,2026-04-21,Sample Dataset,https://example.com/jobs/1003,"Gather requirements, map business processes, and support reporting for claims operations.","Requirements Gathering; Process Mapping; SQL; Excel; Power BI; Stakeholder Management"
IT Support Technician,Pacific Cloud Services,Vancouver,BC,Full-time,Entry-level,0,2,50000,64000,2026-04-22,Sample Dataset,https://example.com/jobs/1004,"Provide first-level technical support for Windows devices, user accounts, and cloud productivity tools.","Windows; Active Directory; Microsoft 365; Ticketing Systems; Troubleshooting; Customer Service"
User Support Technician,Metro University,Montreal,QC,Full-time,Entry-level,0,2,48000,61000,2026-04-25,Sample Dataset,https://example.com/jobs/1005,"Support students and staff with account access, classroom technology, and service desk requests.","Customer Service; Ticketing Systems; Windows; Hardware Support; Troubleshooting; Communication"
Data Reporting Analyst,BluePeak Logistics,Calgary,AB,Full-time,Junior,1,3,60000,76000,2026-04-28,Sample Dataset,https://example.com/jobs/1006,"Create operational reports for delivery performance, warehouse productivity, and service levels.","SQL; Excel; Power BI; Data Visualization; KPI Reporting; Data Cleaning"
Junior Business Analyst,Northern Bank,Toronto,ON,Contract,Entry-level,0,2,56000,70000,2026-05-01,Sample Dataset,https://example.com/jobs/1007,"Support digital banking projects by documenting requirements, user stories, and process gaps.","Requirements Gathering; User Stories; Process Mapping; Excel; Stakeholder Management; Jira"
Service Desk Analyst,Harbour Tech Group,Halifax,NS,Full-time,Entry-level,0,2,47000,59000,2026-05-02,Sample Dataset,https://example.com/jobs/1008,"Resolve service desk tickets, escalate incidents, and maintain knowledge base articles.","Ticketing Systems; Troubleshooting; Customer Service; Microsoft 365; Knowledge Base; Windows"
Data Analyst Intern,Prairie Energy Analytics,Edmonton,AB,Internship,Internship,0,1,42000,52000,2026-05-03,Sample Dataset,https://example.com/jobs/1009,"Assist analysts with data cleaning, dashboard updates, and monthly energy market reports.","Excel; SQL; Python; Data Cleaning; Data Visualization; Communication"
Business Intelligence Analyst,Cascadia Retail Co.,Vancouver,BC,Full-time,Junior,1,3,65000,82000,2026-05-04,Sample Dataset,https://example.com/jobs/1010,"Develop Power BI reports and partner with teams to improve merchandising decisions.","Power BI; SQL; Data Modeling; DAX; Excel; Stakeholder Management"
IT Support Specialist,Great Lakes Manufacturing,Hamilton,ON,Full-time,Junior,1,3,52000,67000,2026-05-05,Sample Dataset,https://example.com/jobs/1011,"Support plant users, manage devices, and troubleshoot network and application issues.","Windows; Active Directory; Hardware Support; Networking; Ticketing Systems; Troubleshooting"
Junior Systems Support Technician,Atlantic Public Services,Fredericton,NB,Full-time,Entry-level,0,2,46000,58000,2026-05-06,Sample Dataset,https://example.com/jobs/1012,"Provide desktop support, account setup, and incident resolution for public service teams.","Active Directory; Windows; Microsoft 365; Customer Service; Ticketing Systems; Troubleshooting"
Operations Data Analyst,GreenLine Transit,Mississauga,ON,Full-time,Junior,1,3,61000,76000,2026-05-07,Sample Dataset,https://example.com/jobs/1013,"Analyze ridership, route performance, and operational metrics for transit planning.","SQL; Excel; Python; Data Visualization; KPI Reporting; Statistics"
Entry Level Data Analyst,FinTech Works,Toronto,ON,Full-time,Entry-level,0,2,59000,74000,2026-05-08,Sample Dataset,https://example.com/jobs/1014,"Prepare financial data extracts, reconcile reports, and support dashboard automation.","SQL; Excel; Python; Power BI; Data Cleaning; Attention to Detail"
Business Systems Analyst,WestBridge Software,Victoria,BC,Full-time,Junior,1,3,64000,80000,2026-05-09,Sample Dataset,https://example.com/jobs/1015,"Translate business needs into system requirements and support software delivery teams.","Requirements Gathering; User Stories; Jira; SQL; Process Mapping; Stakeholder Management"
Help Desk Technician,Snowcap Hospitality,Banff,AB,Full-time,Entry-level,0,2,45000,56000,2026-05-10,Sample Dataset,https://example.com/jobs/1016,"Provide hotel staff with application, device, and network troubleshooting support.","Customer Service; Troubleshooting; Windows; Hardware Support; Networking; Ticketing Systems"
Data Quality Analyst,RedRiver Health Data,Winnipeg,MB,Full-time,Junior,1,3,57000,72000,2026-05-11,Sample Dataset,https://example.com/jobs/1017,"Review data quality rules, investigate anomalies, and prepare data issue summaries.","SQL; Data Cleaning; Excel; Data Quality; Documentation; Communication"
Reporting Analyst,Capital City Services,Ottawa,ON,Full-time,Entry-level,0,2,55000,69000,2026-05-12,Sample Dataset,https://example.com/jobs/1018,"Build recurring management reports and support ad hoc analysis requests.","Excel; SQL; Power BI; KPI Reporting; Data Visualization; Communication"
Technical Support Analyst,CloudNorth SaaS,Montreal,QC,Full-time,Junior,1,3,53000,68000,2026-05-13,Sample Dataset,https://example.com/jobs/1019,"Support SaaS users, triage technical issues, and document recurring product problems.","Customer Service; Troubleshooting; SQL; Ticketing Systems; Knowledge Base; Communication"
